"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Arizona","Pac-12","USC","Pac-12","401524025","40152402512","12","false","2","60","60","4","48","2","63","63","2","52","1","56","3","-3","PUNT","false","17","7","17","7"
"USC","Pac-12","Arizona","Pac-12","401524025","40152402513","13","true","2","35","65","2","52","2","100","0","0","2","2","50","6","65","TD","true","7","17","14","17"
"Arizona","Pac-12","USC","Pac-12","401524025","40152402514","14","false","2","57","57","0","2","2","26","26","0","0","0","2","1","31","END OF HALF","false","17","14","17","14"
"Arizona","Pac-12","USC","Pac-12","401524025","40152402515","15","true","3","75","75","15","0","3","5","5","10","20","4","40","7","70","FG","false","17","14","20","14"
"USC","Pac-12","Arizona","Pac-12","401524025","40152402516","16","true","3","25","75","10","20","3","100","0","5","44","4","36","8","75","TD","true","14","20","21","20"
"Arizona","Pac-12","USC","Pac-12","401524025","40152402517","17","false","3","75","75","5","44","3","56","56","3","23","2","21","6","19","PUNT","false","20","21","20","21"
"USC","Pac-12","Arizona","Pac-12","401524025","40152402518","18","true","3","23","77","3","23","4","100","0","12","54","5","29","11","76","TD","true","21","20","28","20"
"Arizona","Pac-12","USC","Pac-12","401524025","40152402519","19","true","4","75","75","12","54","4","0","0","8","17","4","37","10","75","TD","false","20","28","28","28"
"USC","Pac-12","Arizona","Pac-12","401524025","40152402520","20","false","4","25","75","8","17","4","31","69","6","22","1","55","3","6","PUNT","true","28","28","28","28"
"Arizona","Pac-12","USC","Pac-12","401524025","40152402521","21","false","4","79","79","6","22","4","33","33","2","8","4","14","10","46","MISSED FG","false","28","28","28","28"
"USC","Pac-12","Arizona","Pac-12","401524025","40152402522","22","false","4","33","67","2","8","4","80","20","0","0","2","8","8","59","MISSED FG","true","28","28","28","28"
"USC","Pac-12","Arizona","Pac-12","401524025","40152402524","23","true","5","75","25","0","0","5","100","0","0","0","0","0","3","25","TD","true","28","28","35","28"
"Arizona","Pac-12","USC","Pac-12","401524025","40152402525","24","true","5","97","97","0","0","5","0","0","0","0","0","0","1","25","TD","false","35","35","35","35"
"Arizona","Pac-12","USC","Pac-12","401524025","40152402526","25","true","6","25","25","0","0","6","0","0","0","0","0","0","5","25","TD","false","35","35","41","35"
"USC","Pac-12","Arizona","Pac-12","401524025","40152402527","26","true","6","3","97","0","0","6","100","0","0","0","0","0","3","25","TD","true","35","41","41","41"
"USC","Pac-12","Arizona","Pac-12","401524025","40152402528","27","true","7","75","25","0","0","7","100","0","0","0","0","0","0","0","TD","true","43","41","43","41"
