Offense,Yards,Plays,Scoring,Drive Result,Elapsed Minutes,Elapsed Seconds
Massachusetts,71,1,True,TD,0,9
Toledo,5,3,False,PUNT,2,28
Massachusetts,82,6,True,TD,2,48
Toledo,0,1,False,INT,0,8
Massachusetts,4,3,False,PUNT,1,34
Toledo,8,3,False,PUNT,0,40
Massachusetts,9,4,False,MISSED FG,0,40
Toledo,65,3,True,TD,1,7
Massachusetts,0,5,False,PUNT,2,30
Toledo,58,4,True,TD,1,7
Massachusetts,43,8,True,FG,4,48
Toledo,46,6,True,TD,2,24
Massachusetts,33,5,False,INT,2,17
Toledo,62,12,True,FG,4,23
Massachusetts,63,14,False,MISSED FG,5,42
Toledo,33,7,False,END OF GAME,5,19
Tulsa,51,10,False,INT,2,57
Florida Atlantic,85,10,True,TD,3,52
Tulsa,16,6,False,DOWNS,2,47
Florida Atlantic,41,6,True,TD,2,4
Tulsa,3,3,False,PUNT,1,40
Florida Atlantic,25,7,False,PUNT,2,54
Tulsa,90,12,True,TD,4,30
Florida Atlantic,52,10,False,INT,3,57
Tulsa,2,3,False,PUNT,1,35
Florida Atlantic,26,6,True,FG,2,37
Tulsa,1,2,False,END OF HALF,0,52
Florida Atlantic,7,3,False,PUNT,1,13
Tulsa,23,3,False,INT,1,2
Florida Atlantic,2,3,False,PUNT,1,7
Tulsa,45,9,True,FG,4,29
Florida Atlantic,45,8,False,DOWNS,3,14
Tulsa,3,3,False,PUNT,1,57
Florida Atlantic,83,8,True,FG,4,8
Tulsa,-1,3,False,PUNT,1,15
Florida Atlantic,36,7,False,MISSED FG,3,33
Tulsa,80,7,True,TD,2,55
Florida Atlantic,-2,3,False,PUNT,1,28
Tulsa,35,11,False,DOWNS,2,25
Florida Atlantic,-7,3,False,END OF GAME,1,5
South Florida,70,4,True,TD,1,14
UAB,75,2,True,TD,0,59
South Florida,52,5,False,INT,1,10
UAB,90,8,True,TD,3,54
South Florida,8,1,False,FUMBLE,0,5
UAB,33,5,True,TD,2,0
South Florida,-7,3,False,PUNT,0,52
UAB,33,4,False,INT,1,37
South Florida,60,8,True,TD,2,57
UAB,65,6,True,TD,2,37
South Florida,-4,3,False,PUNT,1,19
UAB,25,10,False,PUNT,5,36
South Florida,4,3,False,PUNT,1,39
UAB,52,9,True,TD,3,22
South Florida,15,2,False,END OF HALF,0,27
UAB,-1,3,False,PUNT,1,22
South Florida,2,4,False,DOWNS,1,1
UAB,56,4,True,TD,1,24
South Florida,28,6,False,DOWNS,2,2
UAB,7,4,False,DOWNS,1,9
South Florida,41,7,True,TD,2,14
UAB,75,4,True,TD,2,15
South Florida,50,11,False,DOWNS,3,19
UAB,75,5,True,TD,1,55
South Florida,40,6,True,TD,1,48
UAB,-6,4,False,MISSED FG,1,36
South Florida,80,11,True,TD,4,1
UAB,6,5,False,PUNT,1,28
South Florida,26,7,False,INT,2,12
UAB,34,5,False,END OF GAME,1,56
Temple,75,14,True,TD,6,43
UTSA,9,3,False,PUNT,1,38
Temple,28,4,False,FUMBLE,1,52
UTSA,53,3,True,TD,0,48
Temple,70,4,True,TD,1,45
UTSA,65,11,True,TD,3,52
Temple,0,3,False,PUNT,0,52
UTSA,57,7,True,TD,2,9
Temple,75,9,True,TD,4,3
UTSA,5,4,False,PUNT,1,35
Temple,-16,3,False,FUMBLE,1,30
UTSA,6,1,True,TD,0,5
Temple,50,10,False,MISSED FG,2,44
UTSA,-1,1,False,END OF HALF,0,10
UTSA,92,6,True,TD,2,28
Temple,38,9,False,DOWNS,3,12
UTSA,9,6,False,PUNT,2,56
Temple,25,7,False,PUNT,3,24
UTSA,51,12,False,DOWNS,4,24
Temple,74,12,True,TD,3,16
UTSA,75,4,True,TD,1,1
Temple,75,8,True,TD,2,45
UTSA,75,4,True,TD,0,50
Temple,73,12,False,DOWNS,2,56
UTSA,9,6,False,END OF GAME,2,42
North Texas,72,12,False,DOWNS,5,28
Navy,37,5,False,PUNT,2,38
North Texas,68,9,True,FG,4,11
Navy,10,6,False,PUNT,3,27
North Texas,6,3,False,PUNT,1,43
Navy,80,10,True,TD,5,15
North Texas,34,5,False,FUMBLE,1,51
Navy,21,4,False,PUNT,2,8
North Texas,80,2,True,TD,0,37
Navy,75,8,True,TD,1,59
North Texas,16,4,False,PUNT,0,42
Navy,-1,1,False,END OF HALF,0,1
Navy,75,12,True,TD,6,34
North Texas,40,8,False,MISSED FG,3,20
Navy,14,4,False,PUNT,2,8
North Texas,93,14,True,TD,4,57
Navy,20,8,False,PUNT,5,10
North Texas,1,2,False,FUMBLE,0,38
Navy,21,1,True,TD,0,6
North Texas,73,8,True,TD,1,44
Navy,26,7,False,PUNT,3,25
North Texas,0,4,False,DOWNS,0,54
Navy,-3,2,False,END OF GAME,1,4
Texas State,75,7,True,TD,2,50
Louisiana,70,10,True,TD,4,27
Texas State,60,13,True,FG,3,16
Louisiana,-16,3,False,PUNT,2,4
Texas State,48,9,True,TD,2,48
Louisiana,89,6,False,FUMBLE,2,28
Texas State,92,9,True,FG,5,3
Louisiana,67,6,True,TD,2,43
Texas State,52,13,False,DOWNS,3,39
Louisiana,-2,1,False,END OF HALF,0,11
Louisiana,40,5,False,FUMBLE,2,2
Texas State,54,13,True,FG,5,52
Louisiana,82,7,True,TD,3,6
Texas State,63,6,False,INT,2,49
Louisiana,2,3,False,PUNT,1,7
Texas State,69,10,True,TD,4,29
Louisiana,63,11,False,TD,4,10
Texas State,14,4,False,PUNT,1,17
Louisiana,22,4,True,TD,2,12
Texas State,23,6,False,FUMBLE,0,57
Louisiana,11,2,False,END OF GAME,1,19
South Alabama,75,10,True,TD,4,3
UL Monroe,6,2,False,INT,0,44
South Alabama,45,8,True,TD,3,44
UL Monroe,2,3,False,PUNT,0,50
South Alabama,38,15,True,FG,6,29
UL Monroe,0,6,False,PUNT,3,20
South Alabama,46,2,True,TD,0,38
UL Monroe,51,11,False,DOWNS,5,2
South Alabama,76,7,True,TD,3,32
UL Monroe,75,11,True,TD,1,23
UL Monroe,3,3,False,PUNT,1,35
South Alabama,37,8,False,MISSED FG,3,56
UL Monroe,3,3,False,PUNT,1,51
South Alabama,58,8,True,TD,2,51
UL Monroe,5,3,False,PUNT,1,13
South Alabama,68,6,True,TD,2,10
UL Monroe,39,8,False,INT,2,35
South Alabama,31,7,True,FG,3,11
UL Monroe,50,7,False,DOWNS,3,12
South Alabama,80,13,True,TD,5,56
UL Monroe,30,3,False,END OF GAME,1,20
Old Dominion,4,6,False,PUNT,3,20
Southern Miss,4,3,False,PUNT,1,25
Old Dominion,36,4,False,PUNT,1,23
Southern Miss,71,13,True,FG,6,26
Old Dominion,18,5,True,PUNT TD,2,17
Old Dominion,80,4,True,TD,0,40
